Marca_Modelo,Versiones,TopTransmisiones,TopLocations,anchor_MM,n
Acura ILX,"['2.4 A-SPEC DCT', '2.4 TECH DCT']",['Automático'],['Ciudad de México'],263200.0,3
Acura Integra,['1.5 A-SPEC CVT'],['Automático'],['Ciudad de México'],534400.0,1
Acura MDX,"['3.5 A-SPEC AUTO 4WD', '3.5 ADVANCE AUTO AWD', '3.5 TECH AUTO 4WD']",['Automático'],"['Ciudad de México', 'Puebla']",380000.0,7
Acura RDX,"['2.0 A-SPEC AUTO 4WD', '2.0 A-SPEC AUTO AWD', '2.0 TECH AUTO 4WD', '2.0 TECH AUTO AWD']",['Automático'],"['Ciudad de México', 'Monterrey', 'Guadalajara']",372800.0,15
Acura TLX,"['2.0 ADVANCE AUTO', '3.5 ADVANCE AUTO']",['Automático'],"['Ciudad de México', 'Puebla', 'Guadalajara']",588000.0,4
Alfa Romeo Giulia,"['2.0 TI', '2.0 VELOCE AUTO']",['Automático'],['Ciudad de México'],536000.0,3
Alfa Romeo Giulietta,['1.8 VELOCE TCT'],['Automático'],['Ciudad de México'],273600.0,1
Alfa Romeo Mito,['1.4 VELOCE'],['Manual'],['Ciudad de México'],207200.0,1
Alfa Romeo Tonale,"['1.3 TI PHEV AUTO', '2.0 TI AUTO']",['Automático'],"['Ciudad de México', 'Monterrey', 'Guadalajara']",623520.0,4
Audi A1,"['1.0 SB 30 TFSI COOL DCT', '1.0 SB 30 TFSI URBAN DCT', '1.5 SB 35 TFSI BLACK EGO EDITION DCT', '1.5 SB 35 TFSI EGO DCT', '2.0 SB 40 TFSI S LINE DCT']",['Automático'],"['Ciudad de México', 'Querétaro', 'Monterrey', 'Guadalajara', 'Puebla']",449600.0,34
Audi A3,"['1.4 35 DYNAMIC DCT', '1.4 35 SELECT DCT', '1.4 35 TFSI DYNAMIC AUTO', '1.4 35 TFSI DYNAMIC DCT', '1.4 35 TFSI SELECT AUTO', '1.4 35 TFSI SELECT DCT', '2.0 40 DYNAMIC DCT', '2.0 40 S LINE DCT', '2.0 40 SELECT DCT', '2.0 40 TFSI S LINE DCT', '2.0 40 TFSI SELECT DCT']",['Automático'],"['Ciudad de México', 'Monterrey', 'Guadalajara', 'Puebla', 'Querétaro']",431520.0,82
Audi A4,"['2.0 40 TFSI DYNAMIC DCT', '2.0 40 TFSI SELECT DCT', '2.0 MHEV 40 TFSI DYNAMIC DCT', '2.0 MHEV 40 TFSI S LINE DCT', '2.0 MHEV 40 TFSI SELECT DCT']",['Automático'],"['Ciudad de México', 'Querétaro', 'Guadalajara', 'Monterrey']",340800.0,23
Audi A5,"['2.0 40 S LINE DCT', '2.0 40 SB S LINE DCT', '2.0 40 SB SELECT DCT', '2.0 45 SB S LINE DCT 4WD']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Monterrey']",363200.0,8
Audi A5 Coupe,['2.0 MHEV 40 TFSI SELECT DCT'],['Automático'],['Ciudad de México'],444800.0,1
Audi A5 Sportback,"['2.0 MHEV SB 40 TFSI S LINE DCT', '2.0 MHEV SB 40 TFSI SELECT DCT']",['Automático'],"['Ciudad de México', 'Querétaro']",436800.0,5
Audi A6,"['2.0 MHEV 40 TFSI SELECT DCT', '2.0 MHEV 45 TFSI S LINE DCT 4WD', '3.0 MHEV 55 TFSI ELITE DCT 4WD', '3.0 MHEV 55 TFSI S LINE DCT 4WD']",['Automático'],"['Ciudad de México', 'Monterrey', 'Guadalajara', 'Querétaro']",758880.0,9
Audi A7,['3.0 MHEV 55 TFSI ELITE DCT 4WD'],['Automático'],"['Guadalajara', 'Querétaro']",560000.0,2
Audi A7 Sportback,['2.0 MHEV 45 TFSI S LINE DCT 4WD'],['Automático'],['Monterrey'],587520.0,1
Audi Q2,"['1.4 35 DYNAMIC DCT', '1.4 35 S LINE DCT', '1.4 35 SELECT DCT', '1.4 35 SPORT DCT', '1.4 35 TFSI DYNAMIC AUTO', '1.4 35 TFSI DYNAMIC DCT', '1.4 35 TFSI S LINE DCT', '1.4 35 TFSI SELECT AUTO', '1.4 35 TFSI SELECT DCT', '1.4 35 TFSI SPORT AUTO', '1.4 35 TFSI SPORT DCT', '2.0 40 S LINE DCT 4WD']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Querétaro', 'Monterrey']",431680.0,67
Audi Q3,"['1.4 35 TFSI DYNAMIC DCT', '1.4 35 TFSI S LINE DCT', '1.4 35 TFSI SELECT DCT', '2.0 40 TFSI S LINE DCT 4WD', '2.0 40 TFSI SELECT DCT 4WD']",['Automático'],"['Ciudad de México', 'Monterrey', 'Cuernavaca', 'Guadalajara', 'Puebla']",575520.0,31
Audi Q3 Sportback,"['1.4 SB 35 TFSI SELECT DCT', '2.0 SB 40 TFSI S LINE DCT 4WD']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Monterrey', 'Querétaro', 'Cuernavaca']",669440.0,19
Audi Q5,"['2.0 45 DYNAMIC DCT 4WD', '2.0 45 ELITE DCT 4WD', '2.0 45 S LINE DCT 4WD', '2.0 45 SELECT DCT 4WD', '2.0 45 TFSI DYNAMIC DCT 4WD', '2.0 45 TFSI ELITE DCT 4WD', '2.0 45 TFSI S LINE DCT 4WD', '2.0 45 TFSI SELECT DCT 4WD', '2.0 MHEV 45 TFSI DYNAMIC DCT 4WD', '2.0 MHEV 45 TFSI ELITE DCT 4WD', '2.0 MHEV 45 TFSI S LINE DCT 4WD', '2.0 MHEV 45 TFSI SELECT DCT 4WD']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Monterrey', 'Puebla', 'Querétaro']",757360.0,51
Audi Q5 Sportback,"['2.0 MHEV SB 45 TFSI ELITE DCT 4WD', '2.0 MHEV SB 45 TFSI SELECT DCT 4WD']",['Automático'],['Ciudad de México'],731520.0,3
Audi Q7,['3.0 MHEV 55 TFSI S LINE AUTO 4WD'],['Automático'],['Ciudad de México'],657600.0,2
Audi Q8,"['3.0 MHEV 55 TFSI ELITE AUTO 4WD', '3.0 MHEV 55 TFSI S LINE AUTO 4WD']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Querétaro']",656000.0,15
Audi S3,['2.0 TFSI S3 DCT 4WD'],['Automático'],['Ciudad de México'],512000.0,1
Audi e-tron,['55 ADVANCED 4WD'],['Automático'],['Ciudad de México'],573600.0,1
Baic BJ20,['1.5 TOP AUTO'],['Automático'],['Ciudad de México'],218400.0,1
Baic BJ40,"['2.0 PLUS AUTO 4WD', '2.3 PLUS AUTO 4WD']",['Automático'],"['Ciudad de México', 'Cuernavaca']",454400.0,2
Baic M50,['1.5 SPORT'],['Manual'],['Ciudad de México'],132000.0,1
Baic U5 Plus,"['1.5 BEIJING LUXURY', '1.5 BEIJING LUXURY CVT']","['Automático', 'Manual']",['Ciudad de México'],239840.0,2
Baic X25,"['1.5 FASHION', '1.5 TOP AUTO']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara']",158400.0,8
Baic X30,"['1.5 FASHION', '1.5 FASHION AUTO']","['Manual', 'Automático']",['Querétaro'],158400.0,3
Baic X35,"['1.5 FASHION', '1.5 FASHION AUTO', '1.5 TA AUTO', '1.5 TM']","['Manual', 'Automático']","['Ciudad de México', 'Querétaro', 'Cuernavaca', 'Guadalajara']",230240.0,13
Baic X65,"['2.0 COMFORT AUTO', '2.0 FASHION AUTO']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Querétaro']",156000.0,5
Bmw Serie 1,"['1.5 118I DCT', '1.5 118IA M SPORT DCT', '1.5 118IA SPORT LINE AUTO', '1.5 118IA SPORT LINE DCT', '2.0 120IA M SPORT AUTO', '2.0 120IA M SPORT DCT', '2.0 120IA SPORT LINE AUTO', '2.0 128TI AUTO', '2.0 M135I XDRIVE AUTO']",['Automático'],"['Ciudad de México', 'Querétaro', 'Monterrey', 'Puebla', 'Guadalajara']",614720.0,70
Bmw Serie 2,"['2.0 220I AUTO', '2.0 220I GRAN COUPE DCT', '2.0 220IA EXECUTIVE AUTO', '2.0 220IA M SPORT AUTO', '2.0 220IA SPORT LINE AUTO', '2.0 M235I XDRIVE GRAN COUPE AUTO', '3.0 M2 COMPETITION', '3.0 M2 COMPETITION DCT', '3.0 M240I AUTO', '3.0 M240IA AUTO']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Querétaro', 'Puebla', 'Monterrey']",507200.0,33
Bmw Serie 3,"['2.0 320I AUTO', '2.0 320IA EXECUTIVE AUTO', '2.0 320IA SPORT LINE AUTO', '2.0 330E PHEV AUTO', '2.0 330E SPORT LINE PLUS', '2.0 330I AUTO', '2.0 330I M SPORT SHADOW EDITION AUTO', '2.0 330IA M SPORT AUTO', '2.0 330IA SPORT LINE AUTO', '2.0 330IA SPORT LINE PLUS AUTO', '3.0 M340I XDRIVE AUTO']",['Automático'],"['Ciudad de México', 'Monterrey', 'Guadalajara', 'Querétaro', 'Cuernavaca']",710480.0,52
Bmw Serie 4,"['2.0 420IA EXECUTIVE', '2.0 420IA GRAN COUPE EXECUTIVE', '2.0 420IA GRAN COUPE SPORT LINE', '2.0 430I AUTO', '2.0 430I GRAN COUPE AUTO', '2.0 430IA GRAN COUPE M SPORT', '2.0 430IA GRAN COUPE SPORT LINE', '2.0 430IA SPORT LINE', '3.0 440IA GRAN COUPE M SPORT', '3.0 440IA M SPORT', '3.0 M440I XDRIVE AUTO']",['Automático'],"['Ciudad de México', 'Querétaro', 'Guadalajara', 'Monterrey']",644800.0,18
Bmw X1,"['1.5 SDRIVE18I DCT', '1.5 SDRIVE18IA EXECUTIVE DCT', '2.0 SDRIVE20I DCT', '2.0 SDRIVE20I M SPORT EDITION DCT', '2.0 SDRIVE20IA M SPORT DCT', '2.0 SDRIVE20IA X LINE DCT']",['Automático'],"['Ciudad de México', 'Querétaro', 'Guadalajara', 'Monterrey', 'Puebla']",308800.0,129
Bmw X2,"['1.5 SDRIVE18I DCT', '1.5 SDRIVE18IA EXECUTIVE DCT', '2.0 M35I XDRIVE AUTO', '2.0 M35IA', '2.0 SDRIVE20I M SPORT DCT', '2.0 SDRIVE20IA EXECUTIVE PLUS DCT', '2.0 SDRIVE20IA M SPORT DCT', '2.0 SDRIVE20IA M SPORT X DCT']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Puebla', 'Querétaro', 'Monterrey']",610560.0,58
Bmw X3,"['2.0 SDRIVE20I AUTO', '2.0 SDRIVE20IA AUTO', '2.0 SDRIVE20IA EXECUTIVE AUTO', '2.0 XDRIVE30E AUTO 4WD', '2.0 XDRIVE30E PHEV AUTO', '2.0 XDRIVE30I AUTO', '2.0 XDRIVE30IA X LINE AUTO 4WD', '3.0 M40I AUTO 4WD', '3.0 M40IA AUTO 4WD']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Monterrey', 'Puebla', 'Cuernavaca']",416800.0,96
Bmw X4,"['2.0 XDRIVE30I AUTO', '2.0 XDRIVE30IA EXECUTIVE AUTO 4WD', '2.0 XDRIVE30IA X LINE AUTO 4WD', '3.0 M40I AUTO 4WD', '3.0 M40IA AUTO 4WD']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Monterrey', 'Querétaro', 'Puebla']",500800.0,23
Bmw X5,"['3.0 XDRIVE40IA M SPORT AUTO 4WD', '3.0 XDRIVE45E AUTO 4WD', '3.0 XDRIVE45E PHEV AUTO', '4.4 M50I AUTO 4WD', '4.4 XDRIVE50IA M SPORT AUTO 4WD']",['Automático'],"['Ciudad de México', 'Guadalajara']",649600.0,9
Bmw X6,['3.0 XDRIVE35IA AUTO 4WD'],['Automático'],['Ciudad de México'],400000.0,1
Bmw Z4,['3.0 M40I AUTO'],['Automático'],"['Ciudad de México', 'Querétaro']",784800.0,3
Bmw iX3,['BEV 80KWH IMPRESSIVE AUTO'],['Automático'],"['Ciudad de México', 'Monterrey']",656400.0,2
Buick Enclave,"['3.6 AVENIR AUTO 4WD', '3.6 AVENIR P AUTO 4WD', '3.6 ESSENCE L AUTO']",['Automático'],"['Ciudad de México', 'Monterrey', 'Querétaro', 'Puebla', 'Guadalajara']",551200.0,18
Buick Encore,"['1.3 CONVENIENCE AUTO', '1.3 ESSENCE AUTO', '1.3 LEATHER AUTO', '1.3 SPORT TOURING AUTO', '1.4 CX N AUTO', '1.4 CXL L AUTO']",['Automático'],"['Ciudad de México', 'Querétaro', 'Guadalajara', 'Monterrey', 'Cuernavaca']",336400.0,40
Buick Envision,"['2.0 AVENIR U AUTO', '2.0 CXL N 4WD AUTO', '2.0 CXL N AUTO 4WD']",['Automático'],"['Ciudad de México', 'Monterrey', 'Guadalajara']",294800.0,8
Byd Dolphin Mini,['BEV 38KWH PLUS AUTO'],['Automático'],['Ciudad de México'],252800.0,1
Byd King,['1.5 PHEV DM-I 55KM AUTO'],['Automático'],['Monterrey'],335200.0,1
Byd Seal,['BEV 82KWH 4WD'],['Automático'],['Guadalajara'],559200.0,1
Byd Song plus,"['1.5 DM-I 115KM AUTO', '1.5 DM-I AUTO']",['Automático'],"['Ciudad de México', 'Guadalajara']",546400.0,4
Byd Tang,['BEV 86KWH AUTO 4WD'],['Automático'],"['Ciudad de México', 'Cuernavaca']",666560.0,4
Byd Yuan Plus,['BEV 60KWH 480KM GS AUTO'],['Automático'],['Ciudad de México'],480000.0,8
Cadillac XT4,"['2.0 PREMIUM LUXURY AUTO', '2.0 SPORT F AUTO']",['Automático'],['Ciudad de México'],574400.0,4
Cadillac XT5,"['3.6 PLATINUM P AUTO 4WD', '3.6 SPORT F AUTO 4WD', '3.6 XT5 LUXURY C AUTO']",['Automático'],['Monterrey'],392800.0,3
Changan Alsvin,"['1.4 MT', '1.5 DCT']","['Automático', 'Manual']","['Ciudad de México', 'Querétaro', 'Cuernavaca', 'Puebla']",172800.0,8
Changan CS35,"['1.4 DCT', '1.4 LUXURY DCT', '1.4 PREMIUM DCT', '1.6 5 TM', '1.6 6 TA AUTO']","['Automático', 'Manual']","['Ciudad de México', 'Monterrey', 'Cuernavaca']",286400.0,17
Changan CS55,"['1.5 LUXURY DCT', '1.5 PREMIUM DCT']",['Automático'],"['Ciudad de México', 'Monterrey']",297600.0,4
Changan Uni-K,['2.0 PREMIUM'],['Automático'],"['Puebla', 'Monterrey']",494416.0,4
Chevrolet Aveo,"['1.5 LS A', '1.5 LS B AUTO', '1.5 LS D', '1.5 LS K', '1.5 LT B', '1.5 LT BLACK EDITION G', '1.5 LT C', '1.5 LT D AUTO', '1.5 LT E', '1.5 LT M', '1.5 LT PLUS C CVT', '1.5 LT PLUS F CVT', '1.5 LTZ E', '1.5 LTZ F AUTO']","['Manual', 'Automático']","['Ciudad de México', 'Querétaro', 'Puebla', 'Guadalajara', 'Monterrey']",218800.0,301
Chevrolet Beat,"['1.2 ACTIV F', '1.2 LS A', '1.2 LT B', '1.2 LT B MT', '1.2 LTZ C']",['Manual'],"['Ciudad de México', 'Querétaro', 'Puebla', 'Guadalajara', 'Monterrey']",132800.0,179
Chevrolet Blazer,"['3.6 PIEL B AUTO', '3.6 RS BITONO F AUTO', '3.6 RS C AUTO']",['Automático'],"['Ciudad de México', 'Monterrey', 'Puebla', 'Guadalajara']",586320.0,19
Chevrolet Bolt EUV,['BEV 65KWH LT A AUTO'],['Automático'],['Ciudad de México'],315200.0,1
Chevrolet Camaro,"['3.6 RS FIRE EDITION H AUTO', '6.2 SS C AUTO']",['Automático'],"['Puebla', 'Ciudad de México']",792800.0,2
Chevrolet Captiva,['1.5 PREMIER C CVT'],['Automático'],['Ciudad de México'],244000.0,1
Chevrolet Cavalier,"['1.3 LS AUTO', '1.3 LT AUTO', '1.3 LT B AUTO', '1.3 RS AUTO', '1.3 RS C AUTO', '1.5 LS A', '1.5 LS D AUTO', '1.5 LT B AUTO', '1.5 PREMIER C AUTO']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Querétaro', 'Puebla', 'Monterrey']",258800.0,139
Chevrolet Cheyenne,"['5.3 CHEYENNE LT CAB REG H AUTO 4WD', '5.3 CHEYENNE RST CREW CAB B 4WD', '6.2 CHEYENNE HIGH CREW CAB G AUTO 4WD']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Puebla']",833120.0,8
Chevrolet Colorado,"['2.5 LT B AUTO', '3.6 LT C AUTO 4WD', '3.6 LT Z71 D AUTO 4WD']",['Automático'],"['Guadalajara', 'Ciudad de México', 'Querétaro']",362840.0,14
Chevrolet Cruze,['1.4 LS B TURBO AUTO'],['Automático'],['Ciudad de México'],180000.0,1
Chevrolet Equinox,"['1.5 LT B AUTO', '1.5 PREMIER C AUTO', '1.5 PREMIER PLUS D AUTO']",['Automático'],"['Ciudad de México', 'Puebla', 'Monterrey', 'Querétaro']",237600.0,15
Chevrolet Groove,['1.5 LT A'],['Manual'],['Puebla'],228800.0,4
Chevrolet Malibu,"['1.5 TURBO LT B AUTO', '1.5 TURBO LT C AUTO']",['Automático'],['Ciudad de México'],230000.0,2
Chevrolet Montana,['1.2 TURBO RS B AUTO'],['Automático'],['Ciudad de México'],358400.0,1
Chevrolet Onix,"['1.0 LS A', '1.0 LS B AUTO', '1.0 LT C', '1.0 LT D AUTO', '1.0 PREMIER REDLINE E AUTO', '1.2 PREMIER G AUTO', '1.3 LS A', '1.3 LT C']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Querétaro', 'Monterrey', 'Puebla']",231280.0,178
Chevrolet S-10,"['2.0 CREW CAB TURBO D 4WD', '2.4 CABINA REGULAR B', '2.4 CHASIS CABINA A', '2.4 CREW CAB C', '2.4 CREW CAB E']",['Manual'],"['Ciudad de México', 'Puebla', 'Querétaro', 'Guadalajara', 'Monterrey']",344480.0,14
Chevrolet Silverado 1500,"['2.7 SILVERADO 1500 WT CREW CAB E AUTO', '2.7 SILVERADO 1500 WT CREW CAB F AT 4WD', '4.3 SILVERADO 1500 CAB REG WT B AUTO 4WD', '4.3 SILVERADO 1500 CREW CAB WT F AT 4WD', '4.3 SILVERADO 1500 WT CAB REG A AUTO', '4.3 SILVERADO 1500 WT CAB REG B AUTO 4WD', '4.3 SILVERADO 1500 WT CREW CAB F AT 4WD', '5.3 SILVERADO 1500 CUSTOM K AUTO 4WD', '5.3 SILVERADO WT V8 4X2 CC N AUTO']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Puebla', 'Monterrey']",605600.0,19
Chevrolet Spark,"['1.4 ACTIV D', '1.4 LT B', '1.4 LT CVT F', '1.4 LT F CVT', '1.4 PREMIER C', '1.4 PREMIER CVT G', '1.4 PREMIER G CVT']","['Manual', 'Automático']","['Ciudad de México', 'Guadalajara', 'Querétaro', 'Monterrey', 'Cuernavaca']",152000.0,57
Chevrolet Suburban,"['5.3 A LS AUTO', '5.3 B LT AUTO']",['Automático'],"['Monterrey', 'Querétaro']",440000.0,2
Chevrolet Tornado,"['1.8 LS A', '1.8 LT C', '1.8 PICK UP B LS']",['Manual'],"['Ciudad de México', 'Guadalajara', 'Querétaro']",190240.0,6
Chevrolet Tornado Van,['1.5 LS B'],['Manual'],"['Ciudad de México', 'Querétaro', 'Monterrey', 'Cuernavaca', 'Guadalajara']",217280.0,18
Chevrolet Tracker,"['1.2 LS A', '1.2 LS F']",['Manual'],['Ciudad de México'],275200.0,2
Chevrolet Traverse,"['3.6 LT B AUTO', '3.6 LT C 8 PAS AUTO', '3.6 LT C AUTO 8P']",['Automático'],"['Ciudad de México', 'Puebla', 'Querétaro', 'Guadalajara', 'Cuernavaca']",404800.0,11
Chevrolet Trax,"['1.8 A LS', '1.8 B LT AUTO', '1.8 C PREMIER AUTO', '1.8 LS A', '1.8 LT B AUTO', '1.8 PREMIER C AUTO']","['Automático', 'Manual']","['Ciudad de México', 'Puebla', 'Monterrey', 'Guadalajara', 'Querétaro']",188800.0,108
Chirey Arrizo 8,['2.0 PREMIUM DCT'],['Automático'],['Ciudad de México'],409120.0,2
Chirey Tiggo 2 Pro,"['1.0 COMFORT CVT', '1.0 LUXURY CVT']",['Automático'],"['Ciudad de México', 'Monterrey', 'Puebla', 'Guadalajara', 'Querétaro']",234400.0,43
Chirey Tiggo 4 Pro,"['1.5 COMFORT CVT', '1.5 LUXURY CVT', '1.5 PREMIUM CVT']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Cuernavaca', 'Querétaro', 'Puebla']",268000.0,45
Chirey Tiggo 7 Pro,"['1.5 COMFORT CVT', '1.5 LUXURY CVT', '1.5 PREMIUM CVT']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Puebla', 'Querétaro', 'Monterrey']",308320.0,45
Chirey Tiggo 8 Pro,"['1.6 LUXURY DCT', '1.6 PREMIUM DCT']",['Automático'],"['Ciudad de México', 'Puebla']",333520.0,7
Chirey Tiggo 8 Pro Max,"['2.0 LUXURY DCT', '2.0 PREMIUM DCT AWD']",['Automático'],"['Ciudad de México', 'Puebla', 'Querétaro', 'Monterrey', 'Guadalajara']",420000.0,17
Chrysler Pacifica,"['3.6 LIMITED AUTO', '3.6 LIMITED PLATINUM AUTO', '3.6 LIMITED PLUS AUTO']",['Automático'],"['Ciudad de México', 'Monterrey', 'Guadalajara']",360000.0,13
Citroen Picasso,['1.6 GRAND'],['Automático'],['Ciudad de México'],79012.8,1
Cupra Ateca,['2.0 TSI DCT 4WD'],['Automático'],"['Ciudad de México', 'Puebla']",412400.0,4
Cupra Formentor,"['2.0 TSI HIGH 310HP DCT 4WD', '2.0 TSI MID 190HP DCT']",['Automático'],"['Ciudad de México', 'Puebla', 'Monterrey', 'Querétaro', 'Guadalajara']",546160.0,34
Cupra Leon,"['2.0 190HP DCT', '2.0 245HP DCT', '2.0 300HP DCT', '2.0 HIGH DCT']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Querétaro', 'Monterrey']",490400.0,22
Dodge Attitude,"['1.2 SE', '1.2 SE AT', '1.2 SE AUTO', '1.2 SE CVT', '1.2 SE MT', '1.2 SXT', '1.2 SXT AUTO', '1.2 SXT CVT', '1.2 SXT MT', '1.5 SPORT DCT']","['Manual', 'Automático']","['Ciudad de México', 'Querétaro', 'Guadalajara', 'Puebla', 'Cuernavaca']",218848.00000000003,42
Dodge Challenger,"['3.6 DUAL STRIPES AUTO', '3.6 GT AUTO', '6.4 SCAT PACK AUTO']",['Automático'],"['Querétaro', 'Ciudad de México', 'Monterrey', 'Puebla']",509600.0,6
Dodge Durango,"['3.6 GT AUTO', '3.6 GT PLUS AUTO', '3.6 TOURING AUTO', '5.7 RT AUTO']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Monterrey']",437200.0,4
Dodge Grand Caravan,"['3.6 SXT', '3.6 SXT PLUS']",['Automático'],"['Ciudad de México', 'Querétaro']",231200.0,5
Dodge Journey,"['1.5 GT AUTO', '1.5 GT PLUS AUTO', '1.5 SPORT AUTO', '1.5 SXT AUTO', '2.4 SE BLACKTOP PARKVIEW', '2.4 SXT+ 7 SPORT PARKVIEW', '2.4 SXT+ 7 SPORT PLUS PARKVIEW', '3.6 GT']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Querétaro', 'Monterrey', 'Puebla']",407200.0,60
Dodge Neon,"['1.6 GT AUTO', '1.6 SPORT AUTO']",['Automático'],"['Ciudad de México', 'Guadalajara']",157600.0,5
Fiat Argo,"['1.3 DRIVE PLUS', '1.3 TREKKING', '1.3 TREKKING CVT', '1.8 HGT FAO AUTO', '1.8 PRECISION', '1.8 TREKKING AUTO']","['Automático', 'Manual']","['Ciudad de México', 'Puebla', 'Guadalajara', 'Monterrey']",211200.0,21
Fiat Fastback,"['1.3 AUDACE', '1.3 IMPETUS']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Puebla']",333440.0,17
Fiat Mobi,"['1.0 LIKE', '1.0 LIKE BLACKTOP', '1.0 TREKKING', '1.0 WAY']",['Manual'],"['Ciudad de México', 'Cuernavaca', 'Guadalajara', 'Puebla', 'Querétaro']",171600.0,31
Fiat Palio,"['1.6 ADVENTURE', '1.6 ADVENTURE AUTO', '1.6 ADVENTURE MT']","['Manual', 'Automático']","['Ciudad de México', 'Puebla']",158400.0,9
