Marca_Modelo,Versiones,TopTransmisiones,TopLocations,anchor_MM,n
Peugeot Partner,"['1.2 PURETECH MAXI', '1.2 PURETECH MAXI PACK', '1.6 HDI MAXI', '1.6 HDI MAXI 5 PTAS', '1.6 HDI MAXI AIRBAGS', '1.6 HDI MAXI DIESEL 5P MT', '1.6 HDI MAXI PACK']",['Manual'],"['Ciudad de México', 'Monterrey', 'Guadalajara', 'Querétaro']",291520.0,14
Peugeot Partner Tepee,"['1.6 HDI TURBO TEPEE 4P', '1.6 HDI TURBO TEPEE 7P']",['Manual'],"['Ciudad de México', 'Querétaro']",192000.0,3
Peugeot Rifter,"['1.2 PURETECH ALLURE PACK AUTO', '1.2 PURETECH GT AUTO', '1.6 HDI ACTIVE', '1.6 HDI ACTIVE SB', '1.6 HDI ALLURE', '1.6 HDI ALLURE SB']","['Automático', 'Manual']","['Ciudad de México', 'Querétaro', 'Guadalajara']",367680.0,19
Porsche Cayenne,"['2.9 S AUTO 4WD', '3.0 E-HYBRID AUTO 4WD']",['Automático'],"['Puebla', 'Guadalajara']",870400.0,3
Porsche Macan,"['2.9 V6 GTS DCT', '3.0 S DCT 4WD']",['Automático'],"['Ciudad de México', 'Puebla']",742400.0,2
Ram Promaster Rapid,"['1.4 AA', '1.4 MT AA', '1.4 TM']",['Manual'],"['Ciudad de México', 'Guadalajara']",218400.0,13
Ram Ram 1200,['2.4T BIGHORN CC'],['Automático'],['Ciudad de México'],407200.0,1
Ram Ram 1500,"['3.6 CREW CAB SLT TRABAJO 4X2 V6 8 AUTO', '3.6 MHEV BIGHORN AUTO 4WD', '3.6 MHEV TRADESMAN AUTO 4WD', '3.6 ST REG CAB 4X2 V6 8 AUTO', '5.7 CREW CAB SLT TRABAJO 4X2 V8 6AT', '5.7 CREW CAB SLT TRABAJO 4X4 V8 6AT', '5.7 CREW CAB SLT TRABAJO 4X4 V8 8 AUTO', '5.7 HEMI SPORT CREW CAB 4X4 V8 6AT', '5.7 HEMI SPORT CREW CAB 4X4 V8 8AT', '5.7 LONGHORN CREW CAB AUTO 4WD', '5.7 MHEV LARAMIE SPORT CC AUTO 4WD', '5.7 MHEV LIMITED CREW CAB AUTO 4WD', '5.7 MHEV LONGHORN CREW CAB AUTO 4WD']",['Automático'],"['Guadalajara', 'Ciudad de México', 'Monterrey', 'Cuernavaca', 'Querétaro']",738720.0,23
Ram Ram 2500,"['6.4 HD BIGHORN CREW CAB 4WD V8 AUTO', '6.4 LIMITED HD AUTO 4WD']",['Automático'],"['Cuernavaca', 'Querétaro']",648800.0,2
Ram Ram 4000,"['5.7 PL REG CAB 4X2 V8 5MT', '6.4 CREW CAB CHASIS 4WD V8 6 AUTO']","['Automático', 'Manual']","['Monterrey', 'Ciudad de México']",391440.0,2
Ram Ram 700,"['1.3 BIGHORN CREW CAB', '1.3 BIGHORN CREW CAB CVT', '1.3 LARAMIE CREW CAB', '1.3 LONGHORN CVT', '1.3 SLT CREW CAB', '1.3 SLT REGULAR CAB', '1.6 CLUB CAB ADVENTURE TOUCH SCREEN 6.7', '1.6 SLT DOBLE CAB', '1.6 SLT REGULAR CAB']","['Manual', 'Automático']","['Ciudad de México', 'Puebla', 'Guadalajara', 'Monterrey', 'Querétaro']",285280.0,29
Renault Captur,"['1.3 ICONIC CVT', '2.0 BOSE DEH SMR AUTO', '2.0 ICONIC AUTO', '2.0 ICONIC DEH AUTO', '2.0 ICONIC DEH SMR M AUTO', '2.0 INTENS DEH', '2.0 INTENS DEH AUTO', '2.0 INTENS DEH M', '2.0 INTENS DEH SMR M AUTO']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Monterrey', 'Cuernavaca']",229600.0,27
Renault Duster,"['1.3 ICONIC CVT', '1.6 ICONIC', '1.6 INTENS', '2.0 CONNECT DEH', '2.0 CONNECT DEH AUTO', '2.0 INTENS', '2.0 INTENS AUTO', '2.0 INTENS DEH', '2.0 INTENS DEH AUTO', '2.0 ZEN', '2.0 ZEN AUTO', '2.0 ZEN DEH', '2.0 ZEN DEH AUTO']","['Manual', 'Automático']","['Ciudad de México', 'Querétaro', 'Guadalajara', 'Cuernavaca', 'Puebla']",274080.0,90
Renault Kangoo,"['1.6 INTENS', '1.6 INTENS PLUS']",['Manual'],"['Ciudad de México', 'Monterrey', 'Guadalajara']",273824.0,7
Renault Koleos,"['2.5 BOSE CVT', '2.5 ICONIC CVT', '2.5 INTENS CVT', '2.5 MINUIT CVT']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Cuernavaca', 'Monterrey', 'Querétaro']",328320.0,31
Renault Kwid,"['1.0 BITONO', '1.0 ICONIC', '1.0 INTENS', '1.0 OUTSIDER']",['Manual'],"['Ciudad de México', 'Guadalajara', 'Querétaro', 'Puebla', 'Monterrey']",173600.0,162
Renault Logan,"['1.6 INTENS AT', '1.6 INTENS CVT', '1.6 INTENS MT', '1.6 ZEN MT']","['Manual', 'Automático']","['Ciudad de México', 'Querétaro']",164480.0,6
Renault Oroch,"['1.3 OUTSIDER CVT', '1.6 LIFE', '1.6 OUTSIDER TM', '2.0 OUTSIDER', '2.0 OUTSIDER AUTO', '2.0 OUTSIDER SMR', '2.0 OUTSIDER SMR AUTO', '2.0 ZEN']","['Manual', 'Automático']","['Ciudad de México', 'Guadalajara', 'Monterrey', 'Puebla', 'Cuernavaca']",299880.0,52
Renault Sandero,['2.0 RS MT'],['Manual'],"['Ciudad de México', 'Guadalajara']",181600.0,2
Renault Stepway,"['1.6 INTENS CVT', '1.6 INTENS MT', '1.6 ZEN MT']","['Manual', 'Automático']","['Ciudad de México', 'Querétaro', 'Guadalajara', 'Cuernavaca', 'Monterrey']",221120.0,30
Seat Arona,"['1.6 BEATS AUTO', '1.6 MARINA AUTO', '1.6 REFERENCE AUTO', '1.6 STYLE AUTO', '1.6 XCELLENCE AUTO', '1.6 XPERIENCE AUTO']",['Automático'],"['Ciudad de México', 'Puebla', 'Monterrey', 'Guadalajara', 'Querétaro']",284160.0,84
Seat Ateca,"['1.4 FR AUTO', '1.4 FR DCT', '1.4 STYLE AUTO', '1.4 STYLE DCT', '1.4 XCELLENCE DCT', '1.4 XCELLENCE DCT 4WD', '1.4 XPERIENCE AUTO']",['Automático'],"['Guadalajara', 'Ciudad de México', 'Puebla', 'Querétaro']",371880.0,23
Seat Ibiza,"['1.0 FR', '1.6 FR', '1.6 FR 20 ANIVERSARIO', '1.6 REFERENCE', '1.6 STYLE', '1.6 STYLE AUTO', '1.6 STYLE MT', '1.6 STYLE URBAN PLUS', '1.6 STYLE URBAN PLUS AUTO', '1.6 XCELLENCE', '1.6 XCELLENCE AUTO']","['Manual', 'Automático']","['Ciudad de México', 'Puebla', 'Guadalajara', 'Monterrey', 'Querétaro']",274400.0,145
Seat Leon,"['1.4 FR', '1.4 FR AUTO', '1.4 FR DCT', '1.4 ST STYLE DCT', '1.4 STYLE 125HP', '1.4 STYLE 150HP', '1.4 STYLE 150HP DCT', '1.4 STYLE AUTO', '2.0 CUPRA DCT', '2.0 CUPRA EDICION LIMITADA DCT', '2.0 FR AUTO']","['Automático', 'Manual']","['Ciudad de México', 'Puebla', 'Guadalajara', 'Monterrey', 'Cuernavaca']",395200.0,50
Seat Tarraco,"['1.4 TSI FR DCT', '1.4 TSI STYLE DCT', '1.4 TSI XCELLENCE', '1.4 TSI XCELLENCE DCT']",['Automático'],"['Ciudad de México', 'Monterrey', 'Querétaro', 'Guadalajara']",491520.0,15
Seat Toledo,"['1.0 STYLE', '1.4 STYLE DCT', '1.6 REFERENCE', '1.6 REFERENCE AUTO']","['Manual', 'Automático']","['Ciudad de México', 'Querétaro', 'Guadalajara']",161600.0,11
Sev E-Wan Cross,['BEV 31KWH BOLD AUTO'],['Automático'],['Ciudad de México'],216800.0,1
Sev Friday,['BEV 49KWH LITE 410 AUTO'],['Automático'],['Puebla'],342400.0,1
Subaru BRZ,"['2.4 LIMITED', '2.4 LIMITED AUTO EYESIGHT', '2.4 LIMITED EYESIGHT']","['Manual', 'Automático']","['Querétaro', 'Ciudad de México']",516640.0,7
Subaru Forester,"['2.5 LIMITED CVT AWD EYESIGHT', '2.5 PREMIUM CVT 4WD', '2.5 PREMIUM CVT AWD', '2.5 SPORT CVT 4WD', '2.5 SPORT CVT AWD EYESIGHT', '2.5 TOURING CVT AWD EYESIGHT']",['Automático'],"['Ciudad de México', 'Monterrey']",306400.0,13
Subaru Outback,['2.4 TOURING CVT AWD EYESIGHT'],['Automático'],"['Cuernavaca', 'Ciudad de México', 'Querétaro']",405600.0,3
Subaru WRX,"['2.4 LIMITED AWD', '2.4 LIMITED CVT AWD EYESIGHT']","['Automático', 'Manual']","['Ciudad de México', 'Querétaro']",493760.0,2
Subaru XV,"['2.0 LIMITED CVT 4WD', '2.0 LIMITED CVT AWD EYESIGHT', '2.0 PREMIUM CVT AWD', '2.0 PREMIUM CVT AWD EYESIGHT']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Puebla']",260000.0,7
Suzuki Baleno,"['1.4 GLE PLUS AUTO', '1.4 GLS', '1.4 GLX AUTO', '1.5 GLS AUTO', '1.5 GLX AUTO']","['Automático', 'Manual']","['Ciudad de México', 'Puebla', 'Cuernavaca', 'Querétaro']",254720.0,16
Suzuki Ciaz,"['1.4 GLX', '1.4 GLX AUTO']","['Manual', 'Automático']",['Ciudad de México'],191600.0,2
Suzuki Ertiga,"['1.5 GLS', '1.5 GLS AUTO', '1.5 GLX', '1.5 GLX AUTO', '1.5 MHEV BOOSTERGREEN GLS', '1.5 MHEV BOOSTERGREEN GLX AUTO']","['Automático', 'Manual']","['Ciudad de México', 'Puebla', 'Monterrey', 'Querétaro', 'Guadalajara']",257600.0,49
Suzuki Ertiga XL7,['1.5 GLX AUTO'],['Automático'],"['Ciudad de México', 'Cuernavaca']",280000.0,8
Suzuki Fronx,['1.5 MHEV BOOSTERGREEN GLX AUTO'],['Automático'],"['Ciudad de México', 'Puebla']",324160.0,4
Suzuki Grand Vitara,['1.5 MHEV BOOSTERGREEN GLX AUTO'],['Automático'],"['Puebla', 'Ciudad de México']",375600.0,2
Suzuki Ignis,"['1.2 GL', '1.2 GL CVT', '1.2 GLS PLUS CVT', '1.2 GLX', '1.2 GLX AUTO', '1.2 GLX CVT']","['Manual', 'Automático']","['Ciudad de México', 'Puebla', 'Querétaro', 'Guadalajara', 'Monterrey']",231760.0,48
Suzuki Jimny,"['1.5 GLX 4WD', '1.5 GLX 4WD VERDE OBSESION', '1.5 GLX AUTO 4WD', '1.5 GLX AUTO 4WD VERDE OBSESION']","['Automático', 'Manual']","['Ciudad de México', 'Querétaro', 'Monterrey', 'Guadalajara', 'Puebla']",362800.0,30
Suzuki S-Cross,"['1.4 BOOSTERJET AUTO', '1.4 BOOSTERJET GLX AUTO', '1.6 GLX AUTO']",['Automático'],"['Ciudad de México', 'Querétaro', 'Guadalajara', 'Cuernavaca']",298800.0,14
Suzuki Swift,"['1.0 BOOSTERJET', '1.0 BOOSTERJET AUTO', '1.2 GLS', '1.2 GLS AUTO', '1.2 GLS CVT', '1.2 GLX', '1.2 GLX AUTO', '1.2 GLX CVT', '1.2 MHEV BOOSTERGREEN', '1.2 MHEV BOOSTERGREEN GLX', '1.4 BOOSTERJET SPORT', '1.4 BOOSTERJET SPORT AUTO']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Puebla', 'Monterrey', 'Querétaro']",292000.0,168
Suzuki Vitara,"['1.4 AG BOOSTERJET 4WD AUTO', '1.4 BOOSTERJET AUTO', '1.4 GLX BOOSTERJET ALL GRIP 4WD AUTO', '1.4 GLX BOOSTERJET AUTO', '1.6 GLS', '1.6 GLS AUTO', '1.6 GLX AUTO']","['Automático', 'Manual']","['Ciudad de México', 'Cuernavaca', 'Monterrey', 'Puebla', 'Querétaro']",212800.0,21
Tesla Model 3,"['BEV 50KWH STANDARD RANGE PLUS AUTO', 'BEV 75KWH LONG RANGE AUTO 4WD', 'BEV 75KWH PERFORMANCE AUTO 4WD', 'BEV LONG RANGE AUTO 4WD', 'LONG RANGE', 'LONG RANGE 4WD', 'PERFORMANCE 4WD', 'STANDARD RANGE PLUS']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Monterrey', 'Puebla']",644960.0,35
Tesla Model Y,"['BEV 75KWH LONG RANGE AUTO 4WD', 'BEV 75KWH PERFORMANCE AUTO 4WD', 'BEV LONG RANGE AUTO 4WD', 'BEV RWD AUTO']",['Automático'],"['Ciudad de México', 'Querétaro', 'Monterrey']",728800.0,9
Toyota Avanza,"['1.5 LE', '1.5 LE AT', '1.5 LE AUTO', '1.5 LE MT', '1.5 XLE AT', '1.5 XLE AUTO', '1.5 XLE CVT']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Puebla', 'Cuernavaca', 'Querétaro']",281920.0,54
Toyota C-HR,['2.0 AUTO'],['Automático'],"['Ciudad de México', 'Guadalajara']",248800.0,5
Toyota Camry,"['2.5 HEV SE AUTO', '2.5 HEV XLE AUTO', '2.5 LE AUTO', '2.5 SE AUTO', '2.5 XLE AUTO', '2.5 XLE NAVI AUTO', '2.5 XLE NAVI HV AUTO']",['Automático'],"['Ciudad de México', 'Monterrey', 'Guadalajara', 'Puebla', 'Cuernavaca']",440000.0,44
Toyota Corolla,"['1.8 BASE', '1.8 BASE AUTO', '1.8 BASE MT', '1.8 HEV LE AUTO', '1.8 LE AUTO', '1.8 LE CVT', '1.8 LE HYBRID AUTO', '1.8 SE CVT', '1.8 XLE CVT', '2.0 BASE CVT', '2.0 LE CVT', '2.0 SE AUTO', '2.0 SE BITONO CVT', '2.0 SE CVT', '2.0 XLE CVT']","['Automático', 'Manual']","['Ciudad de México', 'Monterrey', 'Guadalajara', 'Querétaro', 'Cuernavaca']",333200.0,72
Toyota Corolla Cross,"['2.0 LE CVT', '2.0 LE HEV CVT 4WD', '2.0 XLE CVT']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Monterrey']",391440.0,10
Toyota Hiace,"['2.7 PANEL SUPERLARGA', '3.5 12 PASAJEROS']",['Manual'],['Ciudad de México'],478800.0,2
Toyota Highlander,"['3.5 LE AUTO', '3.5 LIMITED BLUE-RAY AUTO', '3.5 LIMITED PANORAMA ROOF AUTO', '3.5 XLE AUTO']",['Automático'],"['Ciudad de México', 'Monterrey', 'Querétaro', 'Cuernavaca', 'Puebla']",441600.0,25
Toyota Hilux,"['2.7 BASE DOBLE CABINA', '2.7 CABINA SENCILLA (B-CAB)', '2.7 DOBLE CABINA BASE (D-CAB BASE)', '2.7 DOBLE CABINA SR (D-CAB MID)', '2.7 SR DOBLE CABINA', '2.8 DIESEL 4WD DOBLE CABINA', '2.8 DIESEL AUTO 4WD DOBLE CABINA', '2.8 DOBLE CABINA DSL AT PLATINUM ROJO']","['Manual', 'Automático']","['Ciudad de México', 'Guadalajara', 'Monterrey', 'Cuernavaca']",419200.0,28
Toyota Prius,"['1.8 HEV BASE AUTO', '1.8 HEV PREMIUM AUTO', '1.8 HYBRID BASE', '1.8 HYBRID BASE AUTO', '1.8 HYBRID PREMIUM AUTO', '1.8 HYBRID PREMIUM SR']",['Automático'],"['Ciudad de México', 'Monterrey', 'Cuernavaca', 'Guadalajara', 'Puebla']",273600.0,61
Toyota Prius C,"['1.5 HEV AUTO', '1.5 HYBRID AUTO']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Querétaro', 'Puebla', 'Monterrey']",224000.0,60
Toyota RAIZE,"['1.0 XLE', '1.0 XLE BITONO CVT', '1.0 XLE CVT']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Cuernavaca', 'Monterrey']",272800.0,18
Toyota RAV4,"['2.5 ADVENTURE 4WD AUTO', '2.5 ADVENTURE AUTO AWD', '2.5 ADVENTURE AWD AUTO', '2.5 HEV LIMITED AUTO AWD', '2.5 LE AT', '2.5 LE AUTO', '2.5 LIMITED AUTO 4WD', '2.5 LIMITED AUTO AWD', '2.5 LIMITED AWD AT', '2.5 LIMITED HYBRID AUTO', '2.5 XLE AUTO', '2.5 XLE AUTO 4WD', '2.5 XLE AWD AT']",['Automático'],"['Ciudad de México', 'Puebla', 'Monterrey', 'Guadalajara', 'Querétaro']",586720.0,110
Toyota Sienna,"['2.5 HEV LIMITED AUTO', '2.5 HEV XLE AUTO', '2.5 HEV XLE PIEL AUTO', '3.5 LE AUTO', '3.5 LIMITED AUTO', '3.5 XLE AUTO', '3.5 XLE PIEL AUTO']",['Automático'],"['Ciudad de México', 'Querétaro', 'Monterrey', 'Puebla', 'Cuernavaca']",386800.0,44
Toyota Tacoma,"['3.5 SPECIAL EDITION AUTO 4WD', '3.5 SPORT AUTO', '3.5 TRD SPORT AUTO', '3.5 TRD SPORT AUTO 4WD']",['Automático'],"['Ciudad de México', 'Querétaro', 'Guadalajara', 'Cuernavaca']",598400.0,10
Toyota Tundra,['5.7 1794 AUTO 4WD'],['Automático'],['Monterrey'],679200.0,1
Toyota Yaris,"['1.5 BASE', '1.5 CORE', '1.5 CORE AUTO', '1.5 CORE CVT', '1.5 R XLE AUTO', '1.5 S', '1.5 S AUTO', '1.5 S CVT', '1.5 S HI CVT', '1.6 GR LAUNCH EDITION 4WD']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Puebla', 'Querétaro', 'Monterrey']",268320.0,45
Volkswagen Amarok,"['2.0 TRENDLINE', '3.0 HIGHLINE AUTO 4WD']","['Automático', 'Manual']","['Monterrey', 'Ciudad de México', 'Puebla']",361600.0,4
Volkswagen Caddy,"['1.6 CARGO MAXI', '1.6 MAXI PASAJEROS COMFORTLINE']",['Manual'],"['Ciudad de México', 'Puebla']",236000.0,6
Volkswagen Cross Sport,"['2.0 R-LINE AUTO 4WD', '3.6 FSI R-LINE AUTO 4WD']",['Automático'],"['Ciudad de México', 'Monterrey']",860400.0,7
Volkswagen Gol,"['1.6 5 PTAS. EDICION ANIVERSARIO', '1.6 5 PTAS. TRENDLINE']",['Manual'],"['Ciudad de México', 'Puebla', 'Guadalajara', 'Cuernavaca', 'Monterrey']",147200.0,52
Volkswagen Golf,"['1.4 COMFORTLINE', '1.4 COMFORTLINE DCT', '1.4 HIGHLINE DCT', '2.0 GTI DCT', '2.0 GTI OETTINGER DCT']","['Automático', 'Manual']","['Ciudad de México', 'Querétaro', 'Guadalajara', 'Cuernavaca', 'Puebla']",285200.0,22
Volkswagen Jetta,"['1.4 COMFORTLINE', '1.4 COMFORTLINE AUTO', '1.4 COMFORTLINE MT', '1.4 HIGHLINE AUTO', '1.4 R-LINE AUTO', '1.4 SPORTLINE AUTO', '1.4 TRENDLINE', '1.4 TRENDLINE AUTO', '1.4 WOLFSBURG EDITION AUTO', '1.6 STARTLINE AUTO', '2.0 GLI DSG', '2.0 GLI EDICION ANIVERSARIO']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Puebla', 'Monterrey', 'Querétaro']",433520.0,171
Volkswagen Nivus,"['1.0 TSI BLACK AUTO', '1.0 TSI HIGHLINE AUTO']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Puebla', 'Monterrey', 'Querétaro']",316560.0,33
Volkswagen Passat,['3.6 V6 AUTO'],['Automático'],['Puebla'],184800.0,1
Volkswagen Polo,"['1.0 TSI COMFORTLINE AUTO', '1.6 COMFORTLINE PLUS', '1.6 COMFORTLINE PLUS AUTO', '1.6 DESIGN & SOUND', '1.6 DESIGN & SOUND AUTO', '1.6 EDICION ESPECIAL AUTO', '1.6 SOUND AUTO', '1.6 STARTLINE', '1.6 STARTLINE AUTO', '1.6 TRACK RADIO 6.5']","['Manual', 'Automático']","['Ciudad de México', 'Puebla', 'Guadalajara', 'Querétaro', 'Cuernavaca']",255360.0,112
Volkswagen Saveiro,['1.6 ROBUST CABINA SENCILLA'],['Manual'],"['Ciudad de México', 'Querétaro', 'Puebla', 'Guadalajara', 'Monterrey']",223200.0,32
Volkswagen T-Cross,"['1.0 TSI COMFORTLINE AUTO', '1.0 TSI HIGHLINE AUTO', '1.0 TSI TRENDLINE AUTO', '1.6 COMFORTLINE AUTO', '1.6 HIGHLINE AUTO', '1.6 TRENDLINE', '1.6 TRENDLINE AUTO', '1.6 TRENDLINE EDICION DE LANZAMIENTO AT']","['Automático', 'Manual']","['Ciudad de México', 'Puebla', 'Querétaro', 'Monterrey', 'Cuernavaca']",292640.0,109
Volkswagen Taigun,"['1.0 TSI COMFORTLINE AUTO', '1.0 TSI HIGHLINE AUTO']",['Automático'],"['Ciudad de México', 'Monterrey', 'Guadalajara']",322400.0,6
Volkswagen Taos,"['1.4 TSI COMFORTLINE AUTO', '1.4 TSI COMFORTLINE PLUS AUTO', '1.4 TSI HIGHLINE AUTO', '1.4 TSI TRENDLINE AUTO']",['Automático'],"['Ciudad de México', 'Puebla', 'Monterrey', 'Querétaro', 'Cuernavaca']",397600.0,68
Volkswagen Teramont,"['2.0 HIGHLINE AUTO 4WD', '2.0 TRENDLINE AUTO', '3.6 COMFORTLINE AUTO', '3.6 COMFORTLINE PLUS AUTO', '3.6 HIGHLINE AUTO', '3.6 HIGHLINE AUTO 4WD']",['Automático'],"['Ciudad de México', 'Puebla', 'Guadalajara', 'Querétaro', 'Monterrey']",809920.0,26
Volkswagen Tiguan,"['1.4 COMFORTLINE 3 FILA DCT', '1.4 COMFORTLINE DCT', '1.4 COMFORTLINE PIEL DCT', '1.4 R-LINE DCT', '1.4 TRENDLINE PLUS DCT', '2.0 HIGHLINE DCT 4WD', '2.0 R-LINE 10 ANIVERSARIO DCT 4WD', '2.0 R-LINE DCT 4WD']",['Automático'],"['Ciudad de México', 'Puebla', 'Guadalajara', 'Monterrey', 'Cuernavaca']",481120.0,166
Volkswagen Vento,"['1.6 COMFORTLINE', '1.6 COMFORTLINE AUTO', '1.6 COMFORTLINE MT', '1.6 COMFORTLINE PLUS', '1.6 COMFORTLINE PLUS AUTO', '1.6 EDICION ESPECIAL JOIN', '1.6 EDICION ESPECIAL JOIN AUTO', '1.6 HIGHLINE', '1.6 HIGHLINE AUTO', '1.6 STARTLINE', '1.6 STARTLINE AUTO']","['Manual', 'Automático']","['Ciudad de México', 'Guadalajara', 'Puebla', 'Monterrey', 'Querétaro']",164800.0,223
Volkswagen Virtus,"['1.0 HIGHLINE AUTO', '1.6', '1.6 AUTO', '1.6 COMFORTLINE AUTO', '1.6 TRENDLINE', '1.6 TRENDLINE AUTO']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Puebla', 'Monterrey', 'Querétaro']",288352.0,85
Volvo C40,['BEV 69KWH RECHARGE PLUS AUTO'],['Automático'],['Monterrey'],602400.0,1
Volvo S60,"['2.0 B4 MHEV MOMENTUM AUTO', '2.0 B4 MHEV PLUS AUTO', '2.0 T5 IGNITE AUTO 4WD', '2.0 T5 MOMENTUM AUTO']",['Automático'],"['Ciudad de México', 'Puebla', 'Querétaro', 'Guadalajara', 'Monterrey']",469600.0,13
Volvo XC40,"['1.5 PHEV T5 R-DESIGN EXPRESSION DCT AWD', '1.5 T5 PHEV R-DESIGN RECHARGE DCT', '2.0 B4 MHEV PLUS AUTO', '2.0 MOMENTUM T4 AUTO', '2.0 MOMENTUM T5 AUTO 4WD', '2.0 T4 INSCRIPTION AUTO', '2.0 T4 MOMENTUM AUTO', '2.0 T5 R-DESIGN AUTO 4WD', '2.0 T5 R-DESIGN AUTO AWD', 'BEV 69KWH RECHARGE PLUS AUTO', 'BEV 78KWH RECHARGE PURE ELECTRIC AT AWD', 'BEV 78KWH RECHARGE TWIN ULTIMATE AT AWD']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Querétaro', 'Monterrey', 'Cuernavaca']",696560.0,71
Volvo XC60,"['2.0 B5 MHEV MOMENTUM AUTO AWD', '2.0 B5 MHEV PLUS AUTO AWD', '2.0 B6 MHEV ULTIMATE AUTO AWD', '2.0 INSCRIPTION T6 AUTO AWD', '2.0 MOMENTUM T5 AUTO AWD', '2.0 R-DESIGN T6 AUTO AWD', '2.0 T5 MOMENTUM AUTO 4WD', '2.0 T5 MOMENTUM AUTO AWD', '2.0 T6 INSCRIPTION AUTO 4WD', '2.0 T6 INSCRIPTION AUTO AWD', '2.0 T6 R-DESIGN AUTO 4WD']",['Automático'],"['Ciudad de México', 'Monterrey', 'Guadalajara', 'Puebla', 'Cuernavaca']",694640.0,21
Volvo XC90,"['2.0 B6 MHEV MOMENTUM AUTO AWD', '2.0 INSCRIPTION T6 AUTO AWD', '2.0 MOMENTUM T6 AUTO AWD 5P', '2.0 R-DESIGN T6 AUTO AWD', '2.0 T6 INSCRIPTION AUTO 4WD', '2.0 T6 MOMENTUM AUTO 4WD', '2.0 T6 MOMENTUM AUTO 4WD 5P', '2.0 T6 MOMENTUM AUTO AWD']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Monterrey']",443200.0,13
Volvo ex30,['BEV 69KWH ULTRA AUTO'],['Automático'],['Ciudad de México'],630400.0,1
